epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
86,train,250000,169,1188.994082840237,200,1960,0.1,21500000,1000000,11.2884,0.00032917705278460492,5375000,154538.25889199998,1394.3448749999807,179.29567102256783
86,test,125000,68,1654.4117647058827,900,2180,0.05,21500000,1000000,11.2728,0,5375000,154954.448205,416.1758259999915,300.3538220886538
87,train,250000,162,1269.9999999999995,220,2120,0.1,21750000,1000000,11.9084,0.00030484255041883865,5437500,156348.410101,1393.9590819999867,179.3452930062422
87,test,125000,76,1365.5263157894738,460,2060,0.05,21750000,1000000,11.8775,0,5437500,156764.535476,416.11196499998914,300.39991760391524
88,train,250000,161,1273.6645962732923,360,2040,0.1,22000000,1000000,11.868,0.00029207180126856124,5500000,158158.73928699997,1394.2009939999843,179.31417426604045
88,test,125000,84,1209.0476190476186,360,1820,0.05,22000000,1000000,11.8533,0,5500000,158574.879639,416.12700599999516,300.3890595843747
89,train,250000,186,971.8279569892475,80,1940,0.1,22250000,1000000,10.9189,0.00032993460115332454,5562500,159968.75556,1393.8731109999935,179.3563546258847
89,test,125000,78,1187.4358974358972,480,1820,0.05,22250000,1000000,11.3069,0,5562500,160385.136409,416.36749400000554,300.2155590945299
90,train,250000,211,803.6966824644549,180,1620,0.1,22500000,1000000,11.2036,0.00037216626096945151,5625000,161780.16100999998,1395.0217879999836,179.20867053870197
90,test,125000,86,644.8837209302324,200,1140,0.05,22500000,1000000,11.2128,0,5625000,162196.16699599999,415.9925210000074,300.4861714809478
91,train,250000,197,912.690355329949,220,2020,0.1,22750000,1000000,11.1313,0.00039278115787596662,5687500,163592.299958,1396.1301450000028,179.06640071868048
91,test,125000,98,683.8775510204081,180,1260,0.05,22750000,1000000,11.0942,0,5687500,164008.461113,416.1477100000193,300.37411475842123
92,train,250000,182,1016.263736263736,100,1900,0.1,23000000,1000000,11.7694,0.00037926282552399254,5750000,165402.541627,1394.0777070000186,179.3300321385863
92,test,125000,88,972.0454545454543,340,1640,0.05,23000000,1000000,11.7994,0,5750000,165818.866729,416.31168800001615,300.2558025706815
93,train,250000,186,1026.451612903226,160,2020,0.1,23250000,1000000,10.7106,0.00035422278408253513,5812500,167214.66235899998,1395.7928139999858,179.10967694665501
93,test,125000,73,1586.0273972602747,1000,2540,0.05,23250000,1000000,10.6552,0,5812500,167630.697146,416.0213930000027,300.4653176573523
94,train,250000,173,1122.0809248554904,80,2080,0.1,23500000,1000000,11.7257,0.00035401315057646495,5875000,169025.25221399998,1394.5522530000017,179.26900871745227
